Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0052625	174	41	76	587	155	181	88	64	108	299	217	222	166.33	87	246	2.849	1.51	7.228	4.89150203800845e-13	2.04117351399138e-11	0.0339	0.0202	0.0228	0.0228	TRUE	NA
FBgn0024984	127	43	55	306	147	173	64	67	78	156	206	212	130.54	70	191	2.687	1.426	7.221	5.15835619838343e-13	2.14251724890995e-11	0	0.0245	0.018	0.018	TRUE	NA
FBgn0031117	406	140	189	725	354	458	204	219	269	370	495	561	353.13	231	475	2.024	1.017	7.179	7.03175470236806e-13	2.89371287982243e-11	0.0087	0.0119	0.0111	0.0111	TRUE	NA
FBgn0038341	574	221	234	972	452	486	289	345	333	496	632	596	448.57	322	575	1.772	0.826	7.164	7.82006423684901e-13	3.18872938972884e-11	0	0.0103	0.007	0.007	TRUE	NA
FBgn0033724	123	47	81	416	156	222	62	73	115	212	218	272	158.87	83	234	2.872	1.522	7.157	8.23436587494546e-13	3.34240396651195e-11	0.0348	0.021	0.0239	0.0239	TRUE	NA
FBgn0031516	1471	484	480	2280	824	930	741	756	684	1163	1152	1140	939.38	727	1152	1.584	0.663	7.135	9.65454455399973e-13	3.90113497136731e-11	0	0.0073	0.005	0.005	TRUE	NA
FBgn0000405	3685	1258	1235	5421	2150	2223	1856	1966	1760	2764	3007	2725	2346.33	1861	2832	1.521	0.605	7.095	1.29090500071499e-12	5.14633109660037e-11	0.003	0.0056	0.0048	0.0048	TRUE	NA
FBgn0034438	73	21	28	272	95	89	37	33	40	139	133	109	81.69	37	127	3.5	1.807	7.074	1.50130393149019e-12	5.95850849253662e-11	0	0.0365	0.0282	0.0282	TRUE	NA
FBgn0259224	455	149	156	996	293	330	229	233	222	508	410	404	334.42	228	441	1.946	0.961	7.052	1.76616006430085e-12	6.94793364502494e-11	0.0037	0.0123	0.0097	0.0097	TRUE	NA
FBgn0262794	1603	434	561	3792	871	978	807	678	799	1934	1218	1199	1105.94	761	1450	1.871	0.904	7.039	1.93440342587784e-12	7.57641341802155e-11	0.0198	0.0069	0.0107	0.0107	TRUE	NA
