"ID","Untreated_1","Untreated_3","Untreated_4","RNAi_1","RNAi_3","RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0330118",253.265539589201,257.261955958956,256.294319012435,79.7895185139218,76.0256060751552,80.8303147089022,0.00208162178320959,-1.69571150936459,4.25230262867776e-06,0.308702375676334,2.68159817606774
"FBtr0070393",305.719378280453,317.542778433332,319.666163915794,121.068622881021,122.97152028877,123.085442814117,0.00229972079543728,-1.35482137449206,6.31940374401004e-06,0.390983227673895,2.6383248876178
"FBtr0071934",1319.70852598685,1289.40943030981,1551.52774546583,520.585452187979,535.952397689407,479.445275668874,0.00270585186193008,-1.43332760677429,8.51948581096275e-06,0.370275857822555,2.56769598353566
"FBtr0332500",922.118669127141,983.725278156264,867.512402064888,459.222745833877,437.318256810185,454.022852423957,0.00270585186193008,-1.03601328356979,8.74583728057717e-06,0.487673240506931,2.56769598353566
"FBtr0332503",922.118669127141,983.725278156264,867.512402064888,459.222745833877,437.318256810185,454.022852423957,0.00270585186193008,-1.03601328356979,8.74583728057717e-06,0.487673240506931,2.56769598353566
"FBtr0078144",5966.03308104889,7068.61612181338,4689.95960325992,347.743447622277,573.817135443002,570.316735437188,0.00270585186193008,-3.58623894277843,8.69050331009245e-06,0.0832596357561275,2.56769598353566
"FBtr0071835",339.487877417482,401.001551044285,343.605769822238,65.5054982473331,56.9205772038922,54.7970812866679,0.0022409031855416,-2.60615251646017,4.95806381528263e-06,0.164236589982344,2.64957690602331
"FBtr0332260",1351.45758764762,1597.69867540552,1579.04042193397,617.483527922,531.8085149116,557.882382701664,0.00270585186193008,-1.40477253732534,8.89463915673329e-06,0.377677688291625,2.56769598353566
"FBtr0087390",734.209708860804,725.4583402209,830.739733658048,339.676278236895,315.241262077631,312.443169869031,0.00282962718961667,-1.24136243504681,9.73944719819114e-06,0.422973025316871,2.54827078007917
"FBtr0077234",2861.86935982266,3203.87315015906,2800.00279433079,1380.09265617092,1475.11141816078,1298.79446621125,0.00280791470414117,-1.09238115533494,9.40764140081435e-06,0.468986677127371,2.55161608887964
"FBtr0089963",813.632216746391,797.839235880609,704.13938130642,235.48819363686,291.717575828017,277.335867878806,0.00316085040082144,-1.52675452057193,1.15225901268307e-05,0.347057227688224,2.5001960583
"FBtr0089877",627.659697104956,619.857050389513,599.169556341337,277.034879403578,270.474167138528,317.845741917138,0.00331441741021502,-1.0957823237124,1.34093630604818e-05,0.467882338475209,2.47959279840984
"FBtr0089361",503.620173766414,587.752341443674,504.677349748875,203.884551643138,173.574421116244,184.674193535198,0.00335325001222318,-1.50180714622867,1.58982079092698e-05,0.353110800397663,2.47453406515719
"FBtr0078191",2845.90150312184,2633.94341622802,2546.09673215696,1041.31640359358,1279.25777421087,1218.91028508272,0.00335325001222318,-1.18459474799039,1.40925181976643e-05,0.439948101714393,2.47453406515719
"FBtr0080565",1444.96376031199,1216.37058780791,1448.39567475714,551.501891806049,579.742518423702,609.384349127793,0.00335325001222318,-1.23528929174938,1.57666597841203e-05,0.424757317944071,2.47453406515719
"FBtr0087789",217.5727815358,225.164214528264,232.383403749373,76.5547033192317,72.2727098392044,81.4728280028985,0.00329948352525836,-1.54856847462496,1.27232122789532e-05,0.341849098382763,2.48155403578413
"FBtr0087295",964.080078238994,917.369187104463,1071.69197380027,446.58905210524,428.890339534001,480.770803641068,0.00344848846666488,-1.1200256291875,1.6785739423048e-05,0.460085651910684,2.46237122215356
"FBtr0072561",224.872666807451,213.535327083283,230.81133294526,62.387094181814,71.256893256959,75.25165803389,0.00331441741021502,-1.68412832610506,1.3338425013839e-05,0.311190877535075,2.47959279840984
"FBtr0100457",1211.4679435834,1155.16100018335,1037.3044975015,75.8027299348233,154.562576581901,162.575292831325,0.0037380673124829,-3.19376810036361,1.99519236141759e-05,0.10928989346025,2.42735288241768
"FBtr0085755",379.197342109565,449.648290613848,431.566871581521,77.2322556955287,43.1038875884592,54.9452951810255,0.00335325001222318,-2.87635879636865,1.47621851982633e-05,0.136185140748439,2.47453406515719
"FBtr0334867",891.361017060001,768.777989159899,931.983290551331,98.4624460133688,118.302114287557,184.443326376847,0.0037380673124829,-2.73803235771134,2.02645525598758e-05,0.149889127374455,2.42735288241768
"FBtr0302896",178.108102335925,179.865856069082,183.017272355956,57.9207111374059,61.272288444617,56.4662408419511,0.00331441741021502,-1.62984013636527,1.32698027313425e-05,0.323124010733137,2.47959279840984
"FBtr0333662",530.218696690863,499.42810281968,452.371127224596,48.7741311480492,93.0030504014715,70.8362704484421,0.00358284801003193,-2.84728654150703,1.76662333132619e-05,0.138957292885108,2.44577161488845
"FBtr0079708",556.658564418164,562.352619263774,628.312805738768,282.58726637193,249.695574024142,275.136355453502,0.00388786101964765,-1.11184477085944,2.16279012408492e-05,0.462701996521327,2.4102892683031
"FBtr0301403",1859.07526277255,1732.06280036097,2093.07290590567,837.988589249768,927.592588975184,873.482275092799,0.0037380673124829,-1.10394958995346,2.01212844924489e-05,0.465241084826845,2.42735288241768
"FBtr0345142",3282.39899483321,3171.64331607178,3045.09421124761,1537.52808477521,1720.41509947606,1390.82470756052,0.0037380673124829,-1.03494350976813,2.03746720339415e-05,0.488034989533979,2.42735288241768
"FBtr0332042",864.048002542926,972.495384276393,819.276896835327,359.012211635584,290.047478947663,365.19853937507,0.00407526362044558,-1.39191296382515,2.73075380091808e-05,0.381059195765702,2.38984429239597
"FBtr0112851",909.333209174973,808.487699457482,847.675482523912,326.23362090131,389.930722931312,288.091115795165,0.00415697387076524,-1.36206307955945,2.87185644801157e-05,0.389025578377565,2.3812227053033
"FBtr0076459",325.19031709033,372.738385431449,370.064186352391,43.8765882372824,23.3396483014161,23.1641221171049,0.00316085040082144,-3.6283781962609,1.15891853623897e-05,0.080862902766491,2.5001960583
"FBtr0082183",1358.16388347487,1398.57063904322,1390.08389287791,597.180910738447,520.005966673757,698.214688254353,0.00415697387076524,-1.20119896725561,2.89859011300815e-05,0.434913691708528,2.3812227053033
"FBtr0290076",1341.92255521582,1310.09866294897,1142.3242638974,538.328979064085,634.569176327618,580.16242909387,0.00416300378483516,-1.11317180141034,2.99567635439532e-05,0.462276586189674,2.38059319427001
"FBtr0307520",1957.15535037983,2252.86898755725,1857.08941673861,937.32367953854,943.999320526518,1032.22549127763,0.00416300378483516,-1.05374949492753,3.01155416935594e-05,0.481714583168239,2.38059319427001
