"ID","Untreated_1","Untreated_3","Untreated_4","RNAi_1","RNAi_3","RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0302291",4246.2601069215,3948.67426237922,4030.84947149238,8637.88389745731,10080.2729425833,8368.15094701939,0.00282962718961667,1.14408515595437,9.84667278255442e-06,2.21005941585439,2.54827078007917
"FBtr0346627",66.9665515690016,77.0162015824338,75.5077003626557,372.333895833468,332.753173697135,304.654646680698,0.00282962718961667,2.20144571520828,1.00170126189098e-05,4.59940014003934,2.54827078007917
"FBtr0340135",1230.0990107912,1409.36773922718,1205.15562049597,2588.23907984633,2582.78902985365,2852.89580284773,0.00329815467478788,1.06425532252413,1.2509594821877e-05,2.09109024063512,2.48172898094387
"FBtr0340405",55.2612447893508,44.8102110822244,43.557546198246,532.025777117038,643.123712689166,499.251183308641,0.00269993063780263,3.53991400621904,8.02179277936176e-06,11.6310868313044,2.56864739288046
"FBtr0088136",110.257332061329,68.2962855190225,116.019003769066,534.456143066722,578.905650905453,611.196742457869,0.00335325001222318,2.58832584007001,1.42376197450157e-05,6.01400405252711,2.47453406515719
"FBtr0087258",984.58001197434,787.41808623385,641.096164659889,2843.23188886555,3549.45156999641,3247.29092146241,0.0037380673124829,2.01545540047082,2.05583068579564e-05,4.0430818219381,2.42735288241768
"FBtr0081619",151.584726417063,100.858278699496,134.920942960661,498.624106328999,544.761253548253,611.599723211591,0.00391179740684999,2.11039732989336,2.40807286447596e-05,4.31810202252304,2.40762364554228
"FBtr0071849",245.580419497387,203.078493377261,220.635355839205,525.267472162627,611.310415393813,617.127950620651,0.00391635297102535,1.3921887024168,2.4757272716514e-05,2.62476580228855,2.40711817323754
"FBtr0332963",85.8999519926125,105.203839673058,93.594529446984,257.397880587574,246.553997855798,245.983501303026,0.00390604453185814,1.4023961602831,2.29636602479807e-05,2.64340258309672,2.4082628097348
"FBtr0089581",389.81088626892,155.690626981268,154.501369603481,2432.77440731383,2991.41782119599,2793.49979321067,0.00407526362044558,3.69560846599148,2.68756977036293e-05,12.9565388168635,2.38984429239597
"FBtr0337020",55.1747309613936,123.930706661786,122.976127331702,1194.66939992799,1263.28085652078,1005.28115687448,0.00407526362044558,3.60650152534375,2.72118697018517e-05,12.1805006289384,2.38984429239597
