Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0039613	8020	2075	2460	5285	1553	1840	4039	3243	3505	2695	2172	2255	2984.98	3596	2374	0.66	-0.599	-4.33	1.4878626356276e-05	0.000422050716418312	0.0129	0.0139	0.0134	0.0134	TRUE	0.1727
FBgn0005636	906	432	361	565	240	270	456	675	514	288	336	331	433.43	548	318	0.581	-0.783	-4.317	1.57863862001703e-05	0.000442167741776468	0.0224	0.0201	0.0211	0.0211	TRUE	0.4602
FBgn0040290	1656	538	560	1073	436	447	834	841	798	547	610	548	696.28	824	568	0.688	-0.54	-4.314	1.60360713015795e-05	0.000447753251044415	4e-04	0.0174	0.0097	0.0097	TRUE	0.0448
FBgn0267336	3505	1171	909	2150	710	804	1765	1830	1295	1096	993	985	1327.58	1630	1025	0.629	-0.669	-4.311	1.62181357298184e-05	0.000451421671704665	0.0167	0.0152	0.0165	0.0165	TRUE	0.3822
FBgn0033446	257	77	64	101	37	44	129	120	91	52	52	54	83.03	113	53	0.457	-1.131	-4.31	1.63440251388341e-05	0.000453508510628024	0	0.0508	0.0353	0.0353	TRUE	0.2667
FBgn0036663	14628	6569	6647	10230	4491	4830	7368	10266	9471	5217	6281	5920	7420.52	9035	5806	0.643	-0.638	-4.301	1.70254770850096e-05	0.000468042976531422	0.0179	0.0133	0.0157	0.0157	TRUE	0.3206
FBgn0015522	359	136	113	218	60	66	181	213	161	111	84	81	138.39	185	92	0.507	-0.981	-4.297	1.73110219182453e-05	0.000474428529925573	0.0181	0.0356	0.0291	0.0291	TRUE	0.4012
FBgn0261547	1518	572	489	947	385	419	765	894	697	483	538	514	648.37	785	512	0.651	-0.619	-4.283	1.84276997550295e-05	0.000495877709117968	0.0072	0.0177	0.0133	0.0133	TRUE	0.1633
FBgn0263042	131	39	52	57	13	19	66	61	74	29	18	23	45.26	67	23	0.362	-1.466	-4.273	1.92525553697854e-05	0.000514962494530567	0	0.0824	0.0563	0.0563	TRUE	0.3946
FBgn0032400	1549	308	348	729	173	229	780	481	496	372	242	281	441.96	586	298	0.509	-0.973	-4.259	2.05411923038342e-05	0.00054472076159138	0.0625	0.02	0.0349	0.0349	TRUE	1.031
FBgn0261836	77256	24618	18346	47667	13788	14264	38911	38473	26141	24307	19285	17483	27433.47	34508	20358	0.59	-0.761	-4.255	2.08907259631491e-05	0.000552147466331658	0.0371	0.013	0.023	0.023	TRUE	0.5504
FBgn0033520	66	8	18	7	0	1	33	13	26	4	0	1	12.7	24	2	0.083	-3.589	-4.24	2.23768795591892e-05	0.000587937658506485	0.2645	0.2609	0.2617	0.2617	TRUE	0.5477
FBgn0266418	1044	377	409	674	282	311	526	589	583	344	394	381	469.52	566	373	0.659	-0.603	-4.238	2.25840511729892e-05	0.000589900714949604	0.0035	0.0196	0.0122	0.0122	TRUE	0.0622
FBgn0039209	4689	1424	1223	2981	869	1053	2362	2225	1743	1520	1215	1291	1726	2110	1342	0.636	-0.652	-4.232	2.31298480750521e-05	0.000600634276397927	0.018	0.0147	0.0164	0.0164	TRUE	0.2778
FBgn0262127	8873	2805	2484	5760	2031	2300	4469	4384	3539	2937	2841	2819	3498.19	4131	2866	0.694	-0.528	-4.198	2.69551584547135e-05	0.000687935806178031	0.0075	0.0137	0.0111	0.0111	TRUE	0.1894
