Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0037046	32	9	8	116	30	18	16	14	11	59	42	22	27.46	14	41	2.957	1.564	3.18	0.00147516117490759	0.0200585444928605	0.1179	0.1276	0.124	0.124	TRUE	0.0998
FBgn0016075	54938	21905	21596	68892	37729	35705	27670	34233	30772	35131	52770	43763	37389.94	30892	43888	1.421	0.507	3.169	0.00152931954578496	0.0207015945202228	0.0258	0.0129	0.0184	0.0184	TRUE	0.1412
FBgn0285925	623	203	198	834	307	329	314	317	282	425	429	403	361.85	304	419	1.376	0.46	3.164	0.00155603555808001	0.0209994071451798	0	0.0215	0.0122	0.0122	TRUE	0.0416
FBgn0033153	457	152	155	597	234	280	230	238	221	304	327	343	277.25	230	325	1.412	0.497	3.16	0.0015766090363122	0.0212448663939981	0	0.0242	0.0139	0.0139	TRUE	0.0402
FBgn0030343	2267	1009	937	3083	1546	1759	1142	1577	1335	1572	2162	2156	1657.38	1351	1963	1.454	0.54	3.158	0.00158805000938186	0.0213667091141454	0.027	0.0147	0.0204	0.0204	TRUE	0.3758
FBgn0013720	563	190	244	767	325	391	284	297	348	391	455	479	375.52	310	442	1.428	0.514	3.157	0.00159296579169242	0.0214005223327367	0.0092	0.0212	0.0161	0.0161	TRUE	0.1287
FBgn0051216	2546	853	884	3574	1113	1326	1282	1333	1260	1823	1557	1625	1479.92	1292	1668	1.294	0.372	3.145	0.00165829846139926	0.0221446242813841	0.0034	0.015	0.0093	0.0093	TRUE	0.0819
FBgn0035203	1165	459	538	1636	716	905	587	717	767	834	1001	1109	835.94	690	981	1.425	0.511	3.145	0.00166202505798339	0.0221611634602666	0.019	0.0166	0.0176	0.0176	TRUE	0.2194
FBgn0034403	99	26	45	225	55	79	50	41	64	115	77	97	73.85	52	96	1.888	0.917	3.143	0.0016717895944607	0.022245670262903	0.0262	0.0555	0.0455	0.0455	TRUE	0.1409
FBgn0261244	2565	822	895	3110	1214	1294	1292	1285	1275	1586	1698	1586	1453.62	1284	1623	1.263	0.337	3.143	0.00167335792928539	0.022245670262903	0	0.015	0.0075	0.0075	TRUE	0.0189
FBgn0036272	1482	481	551	1777	758	856	746	752	785	906	1060	1049	883.13	761	1005	1.318	0.399	3.142	0.00167875677536291	0.0222841827096235	0.0038	0.0164	0.0103	0.0103	TRUE	0.0945
FBgn0264816	161	44	60	245	88	115	81	69	85	125	123	141	104.05	78	130	1.642	0.715	3.139	0.00169493778739554	0.0224509039368382	0	0.0431	0.0266	0.0266	TRUE	0.0786
FBgn0053558	5668	1827	1709	6364	2815	2912	2855	2855	2435	3245	3937	3569	3149.48	2715	3584	1.319	0.399	3.136	0.0017149130400968	0.022629230293544	0.0082	0.0138	0.0113	0.0113	TRUE	0.0975
FBgn0004584	3572	1047	1202	4271	1532	1756	1799	1636	1713	2178	2143	2152	1936.85	1716	2158	1.256	0.329	3.121	0.0018005729051959	0.0236544290067549	7e-04	0.0145	0.0074	0.0074	TRUE	0.0227
FBgn0003053	208	84	80	357	121	148	105	131	114	182	169	181	147.12	117	177	1.542	0.624	3.115	0.00184228242466266	0.0241170736408036	0	0.0343	0.0214	0.0214	TRUE	0.1063
FBgn0017577	2200	772	876	2869	1162	1224	1108	1206	1248	1463	1625	1500	1358.54	1187	1529	1.289	0.366	3.115	0.00184055017489933	0.0241170736408036	0.0028	0.0152	0.0091	0.0091	TRUE	0.0442
FBgn0001122	2180	501	457	3309	837	939	1098	783	651	1687	1171	1151	1090.19	844	1336	1.58	0.66	3.105	0.00189985844030784	0.0247398232862893	0.0615	0.0157	0.0315	0.0315	TRUE	0.851
FBgn0037848	1004	368	414	1433	537	590	506	575	590	731	751	723	645.95	557	735	1.325	0.406	3.1	0.00193305599262441	0.0250987313794543	0.0026	0.0177	0.0107	0.0107	TRUE	0.086
FBgn0029594	729	212	285	990	351	413	367	331	406	505	491	506	434.43	368	501	1.36	0.443	3.087	0.00201882016093102	0.0260226210903222	0	0.0201	0.0123	0.0123	TRUE	0.0808
FBgn0263093	535	170	145	734	268	266	269	266	207	374	375	326	302.82	247	358	1.444	0.53	3.085	0.0020321972439383	0.0261571977626566	0.0081	0.0232	0.0176	0.0176	TRUE	0.2092
FBgn0034523	479	153	193	786	242	269	241	239	275	401	338	330	304.06	252	356	1.425	0.511	3.082	0.00205678251747265	0.0264354428327978	0.0068	0.0232	0.0162	0.0162	TRUE	0.1512
FBgn0030361	211	56	81	311	108	147	106	88	115	159	151	180	133.17	103	163	1.576	0.656	3.081	0.00206294595890531	0.0264764548356911	5e-04	0.0365	0.0243	0.0243	TRUE	0.1291
FBgn0039125	1559	604	733	2188	992	1094	785	944	1044	1116	1387	1341	1102.95	924	1281	1.388	0.473	3.078	0.0020868301086786	0.0267444543568349	0.015	0.0157	0.016	0.016	TRUE	0.2207
FBgn0083983	167	27	54	338	82	88	84	42	77	172	115	108	99.69	68	132	1.926	0.945	3.072	0.00212656976509781	0.0271755479163934	0.0799	0.0444	0.0563	0.0563	TRUE	0.8557
FBgn0030344	2476	825	872	3199	1109	1270	1247	1289	1243	1631	1551	1557	1419.66	1260	1580	1.255	0.328	3.071	0.00213408517146451	0.0272277094155333	0	0.0151	0.0075	0.0075	TRUE	0.0103
FBgn0039759	9	4	10	42	17	32	5	6	14	21	24	39	18.24	8	28	3.565	1.834	3.07	0.0021398222286823	0.0272277094155333	0.1397	0.1855	0.171	0.171	TRUE	1.1503
FBgn0035267	42	20	11	90	43	38	21	31	16	46	60	47	36.78	23	51	2.256	1.173	3.057	0.00223788143279819	0.0282334418157698	0.0099	0.0985	0.0722	0.0722	TRUE	0.3911
FBgn0039006	1071	359	366	1492	489	557	539	561	522	761	684	683	624.91	541	709	1.315	0.395	3.056	0.00224105458935042	0.0282334840556495	0.0018	0.0179	0.0103	0.0103	TRUE	0.0519
FBgn0033924	747	203	226	929	337	369	376	317	322	474	471	452	402.15	338	466	1.367	0.451	3.055	0.00224942449847374	0.0282589901380897	0.0033	0.0207	0.013	0.013	TRUE	0.1246
FBgn0037717	806	285	343	1079	458	519	406	445	489	550	641	636	527.84	447	609	1.365	0.449	3.056	0.00224664544039372	0.0282589901380897	0.0068	0.0188	0.0134	0.0134	TRUE	0.0911
FBgn0035167	107	55	51	211	80	127	54	86	73	108	112	156	97.94	71	125	1.796	0.845	3.055	0.00225314013779628	0.028265801700495	0.0397	0.045	0.043	0.043	TRUE	0.5518
FBgn0032422	45	22	20	86	59	50	23	34	28	44	83	61	45.53	28	63	2.212	1.145	3.052	0.00227676210656843	0.0284819102292205	0.0601	0.082	0.0737	0.0737	TRUE	0.1322
FBgn0051324	1569	569	571	2079	801	840	790	889	814	1060	1120	1030	950.53	831	1070	1.29	0.367	3.046	0.00231524161658815	0.0288821527716396	0.0015	0.0162	0.0093	0.0093	TRUE	0.0427
FBgn0031018	58	24	13	122	42	46	29	38	19	62	59	56	43.76	29	59	2.088	1.062	3.039	0.0023727705954685	0.0295584163550181	0	0.0848	0.0605	0.0605	TRUE	0.36
FBgn0020633	2983	1040	1204	3615	1648	1846	1502	1625	1716	1843	2305	2263	1875.73	1614	2137	1.323	0.404	3.034	0.00240980742588256	0.0299360596127419	0.0085	0.0145	0.0122	0.0122	TRUE	0.1798
FBgn0264743	2359	892	946	3354	1172	1361	1188	1394	1348	1710	1639	1668	1491.31	1310	1672	1.28	0.357	3.03	0.00244831484359353	0.0303298196271037	0.0032	0.015	0.0092	0.0092	TRUE	0.0848
FBgn0086532	2510	958	1100	3441	1423	1582	1264	1497	1567	1755	1990	1939	1668.8	1443	1895	1.315	0.395	3.023	0.00250046572723816	0.0308471582167732	0.0073	0.0147	0.0116	0.0116	TRUE	0.1488
FBgn0036449	3138	886	951	3766	1269	1510	1581	1385	1355	1920	1775	1851	1644.39	1440	1849	1.282	0.358	3.019	0.00253739761317689	0.0311732421249194	0.0035	0.0148	0.0095	0.0095	TRUE	0.0921
FBgn0087041	327	97	136	521	167	198	165	152	194	266	234	243	208.67	170	248	1.462	0.548	3.015	0.00257150240253174	0.0314188914943076	0.0032	0.0279	0.0185	0.0185	TRUE	0.1348
FBgn0032805	337	91	92	625	156	155	170	142	131	319	218	190	194.99	148	242	1.642	0.715	3.012	0.00259841841784501	0.0317042641749939	0.0439	0.029	0.0348	0.0348	TRUE	0.9232
FBgn0040238	3223	1204	1199	4308	1537	1817	1623	1882	1708	2197	2150	2227	1964.5	1738	2191	1.263	0.337	3.006	0.00264808667917151	0.0321780464548167	0.0023	0.0144	0.0085	0.0085	TRUE	0.0621
FBgn0000579	13023	5253	5575	16560	8184	9206	6559	8209	7944	8445	11447	11284	8981.23	7571	10392	1.373	0.457	2.997	0.00273004532640032	0.03306527242067	0.0199	0.0132	0.0166	0.0166	TRUE	0.3299
FBgn0000346	152	47	45	205	84	113	77	73	64	105	117	139	95.78	71	120	1.661	0.732	2.994	0.0027562893924873	0.0332659479930683	0	0.0457	0.0312	0.0312	TRUE	0.1759
FBgn0039590	2420	942	797	3108	1233	1433	1219	1472	1136	1585	1725	1756	1482.09	1276	1689	1.324	0.405	2.992	0.00276923194635098	0.0333769268554103	0.0099	0.015	0.0125	0.0125	TRUE	0.2099
FBgn0026415	69	19	32	129	57	53	35	30	46	66	80	65	53.42	37	70	1.91	0.934	2.988	0.0028085906706307	0.0338055636531184	4e-04	0.0718	0.0484	0.0484	TRUE	0.2344
FBgn0024841	1401	414	487	1591	682	754	706	647	694	811	954	924	789.32	682	896	1.309	0.388	2.982	0.00286374015831823	0.034330193257255	0.004	0.0168	0.0108	0.0108	TRUE	0.0879
FBgn0004597	437	161	188	667	232	294	220	252	268	340	324	360	294.09	247	341	1.397	0.482	2.974	0.00294268458372369	0.035229155359176	0.0038	0.0236	0.0152	0.0152	TRUE	0.1198
FBgn0053105	1060	191	315	1596	471	450	534	298	449	814	659	552	550.9	427	675	1.574	0.654	2.971	0.00297188191696036	0.0355309425964644	0.0552	0.0186	0.0329	0.0329	TRUE	0.4191
FBgn0036893	267	96	92	391	139	173	134	150	131	199	194	212	170.24	138	202	1.463	0.549	2.966	0.00301716776649662	0.0359276915724404	0	0.0313	0.0182	0.0182	TRUE	0.0437
FBgn0261931	2088	796	746	2682	1036	1246	1052	1244	1063	1368	1449	1527	1283.75	1120	1448	1.295	0.373	2.966	0.00301649303736622	0.0359276915724404	0.005	0.0153	0.0105	0.0105	TRUE	0.1091
FBgn0027945	395	95	99	557	150	220	199	148	141	284	210	270	208.66	163	255	1.549	0.632	2.965	0.0030304463188263	0.0360376306565899	0.0264	0.0279	0.0273	0.0273	TRUE	0.4695
FBgn0037369	495	147	163	620	247	264	249	230	232	316	345	324	282.75	237	328	1.376	0.461	2.961	0.00306414714210756	0.0363898114596694	0	0.024	0.0136	0.0136	TRUE	0.0272
FBgn0046258	4	3	6	44	12	15	2	5	9	22	17	18	12.14	5	19	4.25	2.088	2.958	0.00309767362612951	0.0367389866683562	0.0741	0.2722	0.2183	0.2183	TRUE	1.5719
FBgn0031070	1007	465	492	1447	777	857	507	727	701	738	1087	1050	801.67	645	958	1.488	0.574	2.952	0.00315621784771575	0.0372541573607183	0.0398	0.0168	0.0258	0.0258	TRUE	0.5022
FBgn0051495	79	18	32	159	56	48	40	28	46	81	78	59	55.29	38	73	1.916	0.938	2.952	0.00315784089001261	0.0372541573607183	0.0133	0.0698	0.0516	0.0516	TRUE	0.2432
FBgn0085810	12	1	9	123	22	5	6	2	13	63	31	6	20.01	7	33	4.974	2.315	2.95	0.00318209566311228	0.0374906429515093	0.7593	0.1703	0.3479	0.3479	TRUE	0.0979
FBgn0013347	1175	265	370	1584	467	579	592	414	527	808	653	710	617.29	511	724	1.411	0.497	2.948	0.00319881318098906	0.0375881649117012	0.0188	0.0179	0.0187	0.0187	TRUE	0.304
FBgn0050100	387	85	141	588	171	219	195	133	201	300	239	268	222.68	176	269	1.522	0.606	2.948	0.00319602509165713	0.0375881649117012	0.0222	0.027	0.0254	0.0254	TRUE	0.4219
FBgn0011770	463	135	201	694	245	272	233	211	286	354	343	333	293.42	243	343	1.414	0.499	2.947	0.00321385136602809	0.0377151174139818	0.0051	0.0236	0.0169	0.0169	TRUE	0.2318
FBgn0026380	1898	632	788	2405	1064	1071	956	988	1123	1226	1488	1313	1182.29	1022	1342	1.313	0.393	2.94	0.00328499718297601	0.0384030085912938	0.0074	0.0155	0.0119	0.0119	TRUE	0.1067
FBgn0035076	40	9	20	77	33	47	20	14	28	39	46	58	34.29	21	48	2.261	1.177	2.939	0.00329241563385735	0.0384345295553963	0.0249	0.1047	0.0791	0.0791	TRUE	0.3247
FBgn0052185	34	9	7	71	24	29	17	14	10	36	34	36	24.41	14	35	2.475	1.307	2.935	0.00333425007747551	0.0387704509661545	0	0.1419	0.0914	0.0914	TRUE	0.3803
FBgn0265102	180	80	75	313	147	119	91	125	107	160	206	146	138.94	108	171	1.599	0.677	2.929	0.00339919262341625	0.0393202710347644	0.0216	0.0355	0.0303	0.0303	TRUE	0.3113
FBgn0030966	372	134	158	460	266	288	187	209	225	235	372	353	263.59	207	320	1.538	0.621	2.924	0.0034511945337701	0.0397668689680341	0.0332	0.0248	0.0282	0.0282	TRUE	0.6855
FBgn0012037	1335	427	582	1757	678	859	672	667	829	896	948	1053	844.35	723	966	1.336	0.418	2.916	0.00354104048973821	0.0405920819074623	0.0097	0.0166	0.0135	0.0135	TRUE	0.1886
FBgn0038049	1026	422	513	1523	652	801	517	660	731	777	912	982	762.93	636	890	1.404	0.49	2.912	0.00359213474450627	0.0410628254934319	0.0215	0.017	0.0189	0.0189	TRUE	0.3425
