Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0112807	227	75	63	507	153	171	117	112	89	259	210	212	166.62	106	227	2.14	1.098	4.757	1.96304197957854e-06	6.8094462079851e-05	0	0.065	0.0307	0.0307	TRUE	NA
FBtr0086774	1534	468	620	2406	1052	1263	794	701	873	1229	1445	1567	1101.41	789	1414	1.779	0.831	4.753	2.0081341652498e-06	6.92512700144916e-05	0.0124	0.0318	0.021	0.021	TRUE	NA
FBtr0083294	985	354	374	1584	605	733	510	530	527	809	831	909	685.98	522	850	1.625	0.701	4.74	2.13856060777569e-06	7.34626712857469e-05	0	0.0354	0.0141	0.0141	TRUE	NA
FBtr0112888	586	166	182	953	350	395	303	249	256	487	481	490	377.6	269	486	1.801	0.849	4.738	2.16058541577708e-06	7.4075419749055e-05	0	0.0432	0.02	0.02	TRUE	NA
FBtr0089263	298	62	65	555	159	181	154	93	92	283	218	225	177.49	113	242	2.169	1.117	4.737	2.17344496928204e-06	7.43721759217961e-05	0	0.0626	0.0325	0.0325	TRUE	NA
FBtr0079003	8571	3626	3142	22001	5958	6444	4436	5431	4426	11235	8182	7995	6950.7	4764	9137	1.897	0.923	4.732	2.22216851446855e-06	7.589263163989e-05	0.0275	0.0269	0.0273	0.0273	TRUE	NA
FBtr0290305	1340	89	148	4307	266	252	693	133	208	2199	365	313	652.1	345	959	2.345	1.23	4.728	2.26651781429511e-06	7.68945400715161e-05	0.0544	0.0359	0.0445	0.0445	TRUE	NA
FBtr0077958	2708	990	1170	4023	1812	2197	1401	1483	1648	2054	2488	2726	1966.8	1511	2423	1.595	0.673	4.721	2.34328666176655e-06	7.8811947401734e-05	0.0044	0.0292	0.0141	0.0141	TRUE	NA
FBtr0086676	952	259	324	1559	533	680	493	388	456	796	732	844	618.12	446	791	1.774	0.827	4.715	2.42207257937186e-06	8.11531931849763e-05	0.0076	0.0365	0.0202	0.0202	TRUE	NA
FBtr0113020	57	20	18	186	67	64	29	30	25	95	92	79	58.53	28	89	3.147	1.654	4.714	2.42934836962647e-06	8.12431039831036e-05	0	0.1372	0.0636	0.0636	TRUE	NA
FBtr0081348	864	274	282	1378	490	594	447	410	397	704	673	737	561.38	418	705	1.683	0.751	4.713	2.44130742904064e-06	8.14889994852037e-05	0	0.0375	0.0162	0.0162	TRUE	NA
FBtr0343526	113	83	76	263	190	181	58	124	107	134	261	225	151.61	96	207	2.165	1.115	4.688	2.75238239975427e-06	9.15270620940841e-05	0.0019	0.0689	0.0327	0.0327	TRUE	NA
FBtr0082087	465	212	238	775	414	551	241	318	335	396	569	684	423.55	298	550	1.819	0.863	4.685	2.80442196772638e-06	9.30826060620025e-05	0.0072	0.0413	0.0217	0.0217	TRUE	NA
