Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0344703	1224	533	466	703	81	159	633	798	656	359	111	197	459.28	696	222	0.296	-1.758	-4.883	1.04611889570998e-06	3.89618723873797e-05	0.1538	0.0401	0.0899	0.0899	TRUE	NA
FBtr0100361	1004	272	251	400	143	176	520	407	354	204	196	218	316.59	427	206	0.485	-1.043	-4.873	1.09811504954356e-06	4.08125070199056e-05	0.0148	0.0465	0.0291	0.0291	TRUE	NA
FBtr0078968	28241	9034	10754	18463	6994	7783	14616	13531	15149	9428	9605	9656	11997.34	14432	9563	0.663	-0.594	-4.845	1.26811269821191e-06	4.67873060297325e-05	0.0021	0.0265	0.0107	0.0107	TRUE	NA
FBtr0345095	2080	687	772	1311	486	548	1076	1029	1087	669	667	680	868.28	1064	672	0.631	-0.663	-4.812	1.49462310193571e-06	5.42944092327405e-05	0	0.0334	0.0124	0.0124	TRUE	NA
FBtr0081004	327	104	114	155	46	41	169	156	161	79	63	51	113.13	162	64	0.398	-1.331	-4.8	1.58314838797108e-06	5.70417069889947e-05	0	0.0835	0.0438	0.0438	TRUE	NA
FBtr0078204	397	139	148	163	67	88	205	208	208	83	92	109	151.09	207	95	0.453	-1.142	-4.799	1.59796192848038e-06	5.72404863885243e-05	0	0.069	0.0329	0.0329	TRUE	NA
FBtr0301537	2884	455	278	1543	121	153	1493	682	392	788	166	190	618.26	856	381	0.39	-1.357	-4.798	1.60086238348252e-06	5.72404863885243e-05	0.0741	0.0365	0.0543	0.0543	TRUE	NA
FBtr0085828	1126	199	242	541	121	150	583	298	341	276	166	186	308.37	407	209	0.521	-0.94	-4.796	1.62042046083658e-06	5.76797955184303e-05	0.0043	0.0471	0.0234	0.0234	TRUE	NA
FBtr0321285	1607	509	461	992	296	299	832	762	649	507	406	371	587.91	748	428	0.571	-0.809	-4.794	1.63330650583166e-06	5.80217377402971e-05	0.0047	0.037	0.0185	0.0185	TRUE	NA
FBtr0304993	931	390	384	282	198	263	482	584	541	144	272	326	391.51	536	247	0.438	-1.191	-4.793	1.64278693376137e-06	5.82415704312072e-05	0.0403	0.0426	0.0415	0.0415	TRUE	NA
FBtr0070179	8594	3113	4033	4730	2235	2733	4448	4663	5681	2415	3069	3391	3944.45	4931	2958	0.596	-0.747	-4.792	1.64914491214654e-06	5.83500452815689e-05	0.01	0.0276	0.0172	0.0172	TRUE	NA
FBtr0070406	1370	313	314	760	204	208	709	469	442	388	280	258	424.41	540	309	0.574	-0.8	-4.776	1.78631109095888e-06	6.26470917475068e-05	4e-04	0.0413	0.0173	0.0173	TRUE	NA
FBtr0300039	1500	740	694	771	246	450	776	1108	978	394	338	558	692.02	954	430	0.455	-1.137	-4.776	1.7882980799554e-06	6.26470917475068e-05	0.0429	0.0353	0.0391	0.0391	TRUE	NA
FBtr0339956	1641	453	382	1021	197	238	849	679	538	521	271	295	525.51	689	362	0.513	-0.962	-4.776	1.78738652212866e-06	6.26470917475068e-05	0.017	0.0383	0.0267	0.0267	TRUE	NA
FBtr0071338	10864	4894	4950	7224	3617	3997	5622	7330	6973	3689	4967	4959	5590.06	6642	4538	0.681	-0.554	-4.766	1.87722925669506e-06	6.53741393310872e-05	6e-04	0.0271	0.0096	0.0096	TRUE	NA
FBtr0079648	763	90	244	167	62	42	395	135	344	85	85	52	182.65	291	74	0.259	-1.947	-4.756	1.97781177240463e-06	6.83388048156451e-05	0.172	0.0616	0.1112	0.1112	TRUE	NA
FBtr0087960	2757	825	820	885	493	565	1427	1236	1155	452	677	701	941.25	1273	610	0.471	-1.085	-4.756	1.97524390599415e-06	6.83388048156451e-05	0.0389	0.0329	0.0362	0.0362	TRUE	NA
FBtr0086336	429	159	151	223	75	84	222	238	213	114	103	104	165.66	224	107	0.479	-1.062	-4.746	2.07039328260489e-06	7.12593921450643e-05	0	0.0652	0.0289	0.0289	TRUE	NA
FBtr0071114	1486	461	448	786	308	311	769	690	631	401	423	386	550.13	697	403	0.578	-0.79	-4.731	2.22923852271716e-06	7.59873963494977e-05	0.0037	0.0378	0.018	0.018	TRUE	NA
FBtr0080590	477	165	190	253	80	105	247	247	268	129	110	130	188.49	254	123	0.487	-1.038	-4.728	2.26282259933866e-06	7.68945400715161e-05	0	0.0605	0.0284	0.0284	TRUE	NA
FBtr0301414	1251	449	513	689	321	341	647	673	723	352	441	423	543.05	681	405	0.591	-0.758	-4.728	2.26889095683293e-06	7.68945400715161e-05	0	0.0379	0.0165	0.0165	TRUE	NA
FBtr0308201	1727	251	191	480	123	123	894	376	269	245	169	153	350.9	513	189	0.404	-1.308	-4.724	2.30766065830247e-06	7.80589382524454e-05	0.0568	0.0445	0.0506	0.0506	TRUE	NA
FBtr0083200	427	152	191	223	80	95	221	228	269	114	110	118	176.55	239	114	0.479	-1.063	-4.723	2.3256044848122e-06	7.85157804213981e-05	0	0.0628	0.0298	0.0298	TRUE	NA
FBtr0089343	1176	1376	1270	246	762	767	609	2061	1789	126	1046	952	1097.03	1486	708	0.385	-1.377	-4.722	2.33814982803238e-06	7.87889687766113e-05	0.093	0.0319	0.0599	0.0599	TRUE	NA
FBtr0331295	1663	58	74	661	38	32	861	87	104	338	52	40	246.87	351	143	0.438	-1.191	-4.719	2.36776033923002e-06	7.94839623554428e-05	0.0109	0.0523	0.0331	0.0331	TRUE	NA
FBtr0329895	1199	480	475	804	262	299	621	719	669	411	360	371	524.98	670	381	0.571	-0.809	-4.692	2.70950858944218e-06	9.02710291070087e-05	0.0056	0.0383	0.0193	0.0193	TRUE	NA
FBtr0306930	221	78	119	92	33	39	114	117	168	47	45	48	89.92	133	47	0.357	-1.485	-4.684	2.81103154161023e-06	9.31272640498625e-05	0.0206	0.0983	0.0577	0.0577	TRUE	NA
FBtr0082208	1504	608	500	953	294	301	778	911	704	487	404	373	609.53	798	421	0.527	-0.924	-4.651	3.29586719591617e-06	0.000108176598447037	0.0182	0.0366	0.0265	0.0265	TRUE	NA
FBtr0082497	4686	2982	3465	2894	2373	2504	2425	4466	4881	1478	3259	3107	3269.28	3924	2615	0.656	-0.608	-4.651	3.29554683732681e-06	0.000108176598447037	0.0027	0.0279	0.012	0.012	TRUE	NA
FBtr0304995	3666	719	824	2249	245	265	1897	1077	1161	1148	336	329	991.43	1378	604	0.378	-1.403	-4.65	3.31479980649801e-06	0.000108596524771771	0	0.0325	0.0639	0.0639	TRUE	NA
